dep;Rea_CHR_2013;Rea_CHR_2018;Rea_AUTRES_2013;Rea_AUTRES_2018;SI_CHR_2013;SI_CHR_2018;SI_AUTRES_2013;SI_AUTRES_2018;SC_CHR_2013;SC_CHR_2018;SC_AUTRES_2013;SC_AUTRES_2018
01;0;0;22;22;0;0;16;10;0;0;31;22
02;0;0;36;34;0;0;54;55;0;0;45;32
03;0;0;26;24;0;0;24;28;0;0;20;26
04;0;0;6;6;0;0;0;0;0;0;10;10
05;0;0;14;8;0;0;6;0;0;0;6;23
06;37;39;56;55;25;37;38;54;49;52;212;211
07;0;0;8;8;0;0;0;0;0;0;43;44
08;0;0;12;12;0;0;21;21;0;0;16;15
09;0;0;8;8;0;0;6;8;0;0;8;6
10;0;0;12;12;0;0;14;18;0;0;32;38
11;0;0;16;16;0;0;18;22;0;0;25;29
12;0;0;11;11;0;0;12;16;0;0;23;19
13;76;119;186;190;59;60;128;178;73;94;287;287
14;69;68;32;31;43;52;10;12;42;42;53;64
15;0;0;14;8;0;0;7;15;0;0;20;21
16;0;0;12;12;0;0;18;18;0;0;37;38
17;0;0;30;30;0;0;28;36;0;0;55;53
18;0;0;12;12;0;0;14;16;0;0;37;44
19;0;0;14;15;0;0;21;21;0;0;23;35
21;59;63;0;0;55;65;30;30;47;59;49;37
22;0;0;14;14;0;0;16;16;0;0;61;59
23;0;0;14;8;0;0;8;8;0;0;10;12
24;0;0;15;19;0;0;16;18;0;0;35;34
25;43;43;10;0;112;123;24;8;33;77;31;19
26;0;0;24;24;0;0;28;34;0;0;40;42
27;0;0;10;12;0;0;18;22;0;0;22;14
28;0;0;20;20;0;0;23;22;0;0;52;42
29;31;39;28;30;51;49;30;22;15;23;67;67
2A;0;0;11;10;0;0;17;15;0;0;16;13
2B;0;0;8;8;0;0;6;6;0;0;9;9
30;26;31;16;18;26;34;20;20;25;36;41;44
31;92;107;60;58;120;154;47;51;130;148;121;123
32;0;0;8;8;0;0;4;4;0;0;8;8
33;116;138;54;57;75;77;46;54;109;121;128;129
34;94;84;44;44;104;107;61;64;44;67;106;136
35;56;56;10;10;86;86;22;26;49;55;61;65
36;0;0;10;10;0;0;9;9;0;0;24;22
37;69;76;10;10;35;39;22;19;42;61;55;55
38;64;64;16;18;43;50;45;39;32;41;48;40
39;0;0;14;8;0;0;15;9;0;0;10;10
40;0;0;20;14;0;0;16;16;0;0;18;25
41;0;0;12;12;0;0;8;8;0;0;37;35
42;46;50;28;28;19;21;41;39;23;28;71;62
43;0;0;8;8;0;0;6;10;0;0;13;13
44;71;75;12;12;95;103;26;28;28;47;97;101
45;30;39;12;12;28;42;14;18;73;76;58;58
46;0;0;8;8;0;0;4;4;0;0;10;10
47;0;0;12;11;0;0;16;18;0;0;36;36
48;0;0;6;3;0;0;0;0;0;0;6;3
49;54;58;8;8;62;78;20;20;29;32;45;45
50;0;0;28;28;0;0;26;26;0;0;55;34
51;40;42;20;18;31;31;8;8;16;24;69;39
52;0;0;14;8;0;0;8;6;0;0;19;30
53;0;0;8;8;0;0;8;8;0;0;14;14
54;97;77;16;18;66;67;19;19;79;75;101;98
55;0;0;8;8;0;0;6;10;0;0;16;12
56;0;0;22;22;0;0;32;32;0;0;66;66
57;40;48;48;40;34;36;24;20;12;20;73;71
58;0;0;12;12;0;0;12;16;0;0;24;24
59;112;112;135;127;122;137;185;212;96;114;232;241
60;0;0;36;36;0;0;45;46;0;0;47;45
61;0;0;16;16;0;0;8;12;0;0;24;21
62;0;0;77;85;0;0;139;137;0;0;153;149
63;59;71;10;10;43;46;12;6;40;47;36;40
64;0;0;36;37;0;0;56;55;0;0;71;81
65;0;0;18;12;0;0;22;22;0;0;25;37
66;0;0;32;32;0;0;35;32;0;0;39;39
67;114;114;31;20;95;78;23;26;122;124;97;95
68;0;0;74;70;0;0;68;68;0;0;108;112
69;166;167;63;55;118;124;78;87;114;113;129;149
70;0;0;10;12;0;0;8;12;0;0;19;25
71;0;0;28;26;0;0;28;22;0;0;54;65
72;0;0;21;21;0;0;27;27;0;0;45;53
73;0;0;18;18;0;0;14;18;0;0;49;50
74;0;0;34;34;0;0;36;41;0;0;69;83
75;376;405;81;66;464;449;83;92;243;219;130;118
76;78;72;31;31;60;58;86;92;59;70;111;118
77;0;0;76;77;0;0;39;50;0;0;94;134
78;0;0;87;84;0;0;99;102;0;0;107;114
79;0;0;8;8;0;0;18;18;0;0;24;24
80;60;60;6;6;41;50;30;32;33;29;45;62
81;0;0;24;24;0;0;35;35;0;0;53;43
82;0;0;18;18;0;0;18;20;0;0;17;17
83;0;0;60;60;0;0;44;42;0;0;116;119
84;0;0;16;16;0;0;30;30;0;0;90;87
85;0;0;18;18;0;0;16;22;0;0;69;70
86;60;56;0;0;43;62;0;0;19;27;27;18
87;23;26;0;0;60;64;0;8;48;77;41;38
88;0;0;8;8;0;0;12;12;0;0;43;39
89;0;0;18;18;0;0;14;16;0;0;31;35
90;0;0;12;25;0;0;8;20;0;0;18;14
91;0;0;115;97;0;0;72;82;0;0;115;136
92;95;95;109;115;36;44;87;94;60;62;215;261
93;24;20;71;80;21;23;80;86;8;22;112;119
94;118;130;44;46;92;96;64;73;59;69;78;97
95;0;0;60;60;0;0;65;65;0;0;60;69
971;20;24;5;5;14;18;6;16;4;6;16;14
972;18;29;0;0;22;29;0;0;10;10;5;9
973;0;0;14;13;0;0;6;6;0;0;4;4
974;56;61;0;0;44;63;14;14;18;25;25;45
976;0;0;10;10;0;0;0;0;0;0;8;8
